Language,Label,ILL_scope,T_scope,Finiteness,ILL_mark,T_mark,Symmetry,WH,Extraction,FOC,Position,Layer
Chantyal ,CHAIN ,NA ,extensible ,nonfinite ,NA ,banned ,asymmetrical ,NA ,NA ,NA ,flexible-adjacent ,ad-S 
Chechen ,AND ,local ,local ,finite ,ok ,ok ,symmetrical ,ok ,banned ,NA ,flexible-adjacent ,ad-S 
Chechen ,CHAIN ,extensible ,conjunct ,nonfinite ,banned ,banned ,asymmetrical ,ok ,banned ,banned ,flexible-relational ,ad-S 
Chechen ,CVB ,disjunct ,local ,nonfinite ,banned ,ok ,asymmetrical ,ok ,banned ,ok ,flexible-relational ,ad-S 
Chechen ,CVB.TEMP ,disjunct ,conjunct ,nonfinite ,ok ,banned ,asymmetrical ,ok ,banned ,ok ,flexible-relational ,ad-S 
English ,ALTHOUGH ,disjunct ,local ,nonfinite ,ok ,ok ,symmetrical ,banned ,banned ,ok ,flexible-relational ,ad-S 
English ,AND ,constraint-free ,local ,finite ,ok ,ok ,symmetrical ,ok ,banned ,ok ,flexible-adjacent ,ad-S 
English ,CVB-ADV ,disjunct ,conjunct ,nonfinite ,banned ,banned ,asymmetrical ,banned ,possible ,ok ,fixed:post-main ,ad-V 
English ,CVB-DETACHED ,local ,conjunct ,nonfinite ,banned ,banned ,asymmetrical ,banned ,banned ,ok ,fixed:post-main ,detached 
English ,FIN.SUB ,disjunct ,conjunct ,finite ,banned ,harmonic ,symmetrical ,banned ,banned ,ok ,flexible-relational ,ad-S 
English ,GO-AND ,conjunct ,conjunct ,finite ,harmonic ,ok ,symmetrical ,ok ,possible ,ok ,flexible-adjacent ,ad-S 
English ,TO.ING.DETACHED ,local ,conjunct ,nonfinite ,banned ,banned ,asymmetrical ,banned ,banned ,ok ,fixed:pre-main ,detached 
Fore ,CHAIN ,constraint-free ,conjunct ,finite ,ok ,harmonic ,asymmetrical ,NA ,NA ,NA ,flexible-adjacent ,ad-S 
German ,AND ,constraint-free ,local ,finite ,ok ,ok ,symmetrical ,ok ,banned ,ok ,flexible-adjacent ,detached 
